"","group","code_name","pretty_name","value_format","global_min","global_max","current_min","current_max"
"1","foster_care_trend","trend_0","Entries per 1,000","f",0.29,13.88,0.69,11.72
"2","foster_care_trend","trend_1","Entries Age 0-4","p",0,1,0.210526315789474,0.823529411764706
"3","foster_care_trend","trend_2","Entries with Immediate Dependency","p",0.0238095238095238,1,0.16,0.72
"4","foster_care_trend","trend_3","Placements in Kin Care","p",0.0513,0.592011111111111,0.1212,0.5383
"5","foster_care_trend","trend_4","Siblings All or Some Together","p",0.3333,1,0.5,1
"6","population_fast_fact","population_0","Population < 18","s",360,412745,NA,NA
"7","population_fast_fact","population_1","% Children < 5","p",0.2076069730586,0.312382445141,NA,NA
"8","population_fast_fact","population_2","Unemployment","p",0.062,0.13,NA,NA
"9","population_fast_fact","population_3","H.S. Grad Rate","p",0.504070131496556,0.895569620253165,NA,NA
"10","population_fast_fact","population_4","Free/Reduced Lunch","p",0.344280121792084,0.74273127753304,NA,NA
