"","code_location","pretty_location","group","date","code_name","value"
"1","Adams","Adams","foster_care_trend",2000,"trend_0",6.86888888888889
"2","Asotin","Asotin","foster_care_trend",2000,"trend_0",5.15
"3","Benton","Benton","foster_care_trend",2000,"trend_0",4.11
"4","Chelan","Chelan","foster_care_trend",2000,"trend_0",5.31
"5","Clallam","Clallam","foster_care_trend",2000,"trend_0",9.81
"6","Clark","Clark","foster_care_trend",2000,"trend_0",5.37
"7","Columbia","Columbia","foster_care_trend",2000,"trend_0",6.86888888888889
"8","Cowlitz","Cowlitz","foster_care_trend",2000,"trend_0",10.2
"9","Douglas","Douglas","foster_care_trend",2000,"trend_0",3.54
"10","Ferry","Ferry","foster_care_trend",2000,"trend_0",6.86888888888889
"11","Franklin","Franklin","foster_care_trend",2000,"trend_0",2.99
"12","Garfield","Garfield","foster_care_trend",2000,"trend_0",6.86888888888889
"13","Grant","Grant","foster_care_trend",2000,"trend_0",3.13
"14","Grays_Harbor","Grays Harbor","foster_care_trend",2000,"trend_0",7.42
"15","Island","Island","foster_care_trend",2000,"trend_0",5.21
"16","Jefferson","Jefferson","foster_care_trend",2000,"trend_0",10.12
"17","King","King","foster_care_trend",2000,"trend_0",3.64
"18","Kitsap","Kitsap","foster_care_trend",2000,"trend_0",6.8
"19","Kittitas","Kittitas","foster_care_trend",2000,"trend_0",3.64
"20","Klickitat","Klickitat","foster_care_trend",2000,"trend_0",13.88
"21","Lewis","Lewis","foster_care_trend",2000,"trend_0",8.13
"22","Lincoln","Lincoln","foster_care_trend",2000,"trend_0",6.86888888888889
"23","Mason","Mason","foster_care_trend",2000,"trend_0",9.64
"24","Okanogan","Okanogan","foster_care_trend",2000,"trend_0",11.88
"25","Pacific","Pacific","foster_care_trend",2000,"trend_0",10
"26","Pend_Oreille","Pend Oreille","foster_care_trend",2000,"trend_0",6.86888888888889
"27","Pierce","Pierce","foster_care_trend",2000,"trend_0",6.9
"28","San_Juan","San Juan","foster_care_trend",2000,"trend_0",6.86888888888889
"29","Skagit","Skagit","foster_care_trend",2000,"trend_0",3.43
"30","Skamania","Skamania","foster_care_trend",2000,"trend_0",6.86888888888889
"31","Snohomish","Snohomish","foster_care_trend",2000,"trend_0",3.18
"32","Spokane","Spokane","foster_care_trend",2000,"trend_0",7.59
"33","Stevens","Stevens","foster_care_trend",2000,"trend_0",5.83
"34","Thurston","Thurston","foster_care_trend",2000,"trend_0",4.8
"35","Wahkiakum","Wahkiakum","foster_care_trend",2000,"trend_0",6.86888888888889
"36","Walla_Walla","Walla Walla","foster_care_trend",2000,"trend_0",5.75
"37","Whatcom","Whatcom","foster_care_trend",2000,"trend_0",3.3
"38","Whitman","Whitman","foster_care_trend",2000,"trend_0",5.02
"39","Yakima","Yakima","foster_care_trend",2000,"trend_0",9.1
"40","Adams","Adams","foster_care_trend",2001,"trend_0",4.65111111111111
"41","Asotin","Asotin","foster_care_trend",2001,"trend_0",2.89
"42","Benton","Benton","foster_care_trend",2001,"trend_0",3.58
"43","Chelan","Chelan","foster_care_trend",2001,"trend_0",5.62
"44","Clallam","Clallam","foster_care_trend",2001,"trend_0",12.81
"45","Clark","Clark","foster_care_trend",2001,"trend_0",6.06
"46","Columbia","Columbia","foster_care_trend",2001,"trend_0",4.65111111111111
"47","Cowlitz","Cowlitz","foster_care_trend",2001,"trend_0",9.74
"48","Douglas","Douglas","foster_care_trend",2001,"trend_0",1.46
"49","Ferry","Ferry","foster_care_trend",2001,"trend_0",4.65111111111111
"50","Franklin","Franklin","foster_care_trend",2001,"trend_0",2.93
"51","Garfield","Garfield","foster_care_trend",2001,"trend_0",4.65111111111111
"52","Grant","Grant","foster_care_trend",2001,"trend_0",2.23
"53","Grays_Harbor","Grays Harbor","foster_care_trend",2001,"trend_0",5.36
"54","Island","Island","foster_care_trend",2001,"trend_0",4.55
"55","Jefferson","Jefferson","foster_care_trend",2001,"trend_0",4.93
"56","King","King","foster_care_trend",2001,"trend_0",3.33
"57","Kitsap","Kitsap","foster_care_trend",2001,"trend_0",6.81
"58","Kittitas","Kittitas","foster_care_trend",2001,"trend_0",4.07
"59","Klickitat","Klickitat","foster_care_trend",2001,"trend_0",8.19
"60","Lewis","Lewis","foster_care_trend",2001,"trend_0",7.03
"61","Lincoln","Lincoln","foster_care_trend",2001,"trend_0",4.65111111111111
"62","Mason","Mason","foster_care_trend",2001,"trend_0",6.47
"63","Okanogan","Okanogan","foster_care_trend",2001,"trend_0",7.54
"64","Pacific","Pacific","foster_care_trend",2001,"trend_0",12.87
"65","Pend_Oreille","Pend Oreille","foster_care_trend",2001,"trend_0",4.65111111111111
"66","Pierce","Pierce","foster_care_trend",2001,"trend_0",6.45
"67","San_Juan","San Juan","foster_care_trend",2001,"trend_0",4.65111111111111
"68","Skagit","Skagit","foster_care_trend",2001,"trend_0",4.5
"69","Skamania","Skamania","foster_care_trend",2001,"trend_0",4.65111111111111
"70","Snohomish","Snohomish","foster_care_trend",2001,"trend_0",3.58
"71","Spokane","Spokane","foster_care_trend",2001,"trend_0",6.91
"72","Stevens","Stevens","foster_care_trend",2001,"trend_0",5.62
"73","Thurston","Thurston","foster_care_trend",2001,"trend_0",3.69
"74","Wahkiakum","Wahkiakum","foster_care_trend",2001,"trend_0",4.65111111111111
"75","Walla_Walla","Walla Walla","foster_care_trend",2001,"trend_0",7.6
"76","Whatcom","Whatcom","foster_care_trend",2001,"trend_0",3.82
"77","Whitman","Whitman","foster_care_trend",2001,"trend_0",3.92
"78","Yakima","Yakima","foster_care_trend",2001,"trend_0",9.32
"79","Adams","Adams","foster_care_trend",2002,"trend_0",5.55555555555556
"80","Asotin","Asotin","foster_care_trend",2002,"trend_0",6.64
"81","Benton","Benton","foster_care_trend",2002,"trend_0",3.43
"82","Chelan","Chelan","foster_care_trend",2002,"trend_0",4.99
"83","Clallam","Clallam","foster_care_trend",2002,"trend_0",8.82
"84","Clark","Clark","foster_care_trend",2002,"trend_0",5.72
"85","Columbia","Columbia","foster_care_trend",2002,"trend_0",5.55555555555556
"86","Cowlitz","Cowlitz","foster_care_trend",2002,"trend_0",9.76
"87","Douglas","Douglas","foster_care_trend",2002,"trend_0",2.1
"88","Ferry","Ferry","foster_care_trend",2002,"trend_0",5.55555555555556
"89","Franklin","Franklin","foster_care_trend",2002,"trend_0",2.28
"90","Garfield","Garfield","foster_care_trend",2002,"trend_0",5.55555555555556
"91","Grant","Grant","foster_care_trend",2002,"trend_0",3.69
"92","Grays_Harbor","Grays Harbor","foster_care_trend",2002,"trend_0",8.2
"93","Island","Island","foster_care_trend",2002,"trend_0",3.57
"94","Jefferson","Jefferson","foster_care_trend",2002,"trend_0",3.98
"95","King","King","foster_care_trend",2002,"trend_0",3.25
"96","Kitsap","Kitsap","foster_care_trend",2002,"trend_0",6.88
"97","Kittitas","Kittitas","foster_care_trend",2002,"trend_0",4.07
"98","Klickitat","Klickitat","foster_care_trend",2002,"trend_0",6.52
"99","Lewis","Lewis","foster_care_trend",2002,"trend_0",6.84
"100","Lincoln","Lincoln","foster_care_trend",2002,"trend_0",5.55555555555556
"101","Mason","Mason","foster_care_trend",2002,"trend_0",6.94
"102","Okanogan","Okanogan","foster_care_trend",2002,"trend_0",6.6
"103","Pacific","Pacific","foster_care_trend",2002,"trend_0",8.27
"104","Pend_Oreille","Pend Oreille","foster_care_trend",2002,"trend_0",5.55555555555556
"105","Pierce","Pierce","foster_care_trend",2002,"trend_0",5.29
"106","San_Juan","San Juan","foster_care_trend",2002,"trend_0",5.55555555555556
"107","Skagit","Skagit","foster_care_trend",2002,"trend_0",4.69
"108","Skamania","Skamania","foster_care_trend",2002,"trend_0",5.55555555555556
"109","Snohomish","Snohomish","foster_care_trend",2002,"trend_0",3.39
"110","Spokane","Spokane","foster_care_trend",2002,"trend_0",6.23
"111","Stevens","Stevens","foster_care_trend",2002,"trend_0",4.25
"112","Thurston","Thurston","foster_care_trend",2002,"trend_0",4.41
"113","Wahkiakum","Wahkiakum","foster_care_trend",2002,"trend_0",5.55555555555556
"114","Walla_Walla","Walla Walla","foster_care_trend",2002,"trend_0",8.04
"115","Whatcom","Whatcom","foster_care_trend",2002,"trend_0",2.34
"116","Whitman","Whitman","foster_care_trend",2002,"trend_0",2.99
"117","Yakima","Yakima","foster_care_trend",2002,"trend_0",7.65
"118","Adams","Adams","foster_care_trend",2003,"trend_0",5.18666666666667
"119","Asotin","Asotin","foster_care_trend",2003,"trend_0",2.38
"120","Benton","Benton","foster_care_trend",2003,"trend_0",3.11
"121","Chelan","Chelan","foster_care_trend",2003,"trend_0",4.94
"122","Clallam","Clallam","foster_care_trend",2003,"trend_0",6.83
"123","Clark","Clark","foster_care_trend",2003,"trend_0",6.55
"124","Columbia","Columbia","foster_care_trend",2003,"trend_0",5.18666666666667
"125","Cowlitz","Cowlitz","foster_care_trend",2003,"trend_0",9.65
"126","Douglas","Douglas","foster_care_trend",2003,"trend_0",2.28
"127","Ferry","Ferry","foster_care_trend",2003,"trend_0",5.18666666666667
"128","Franklin","Franklin","foster_care_trend",2003,"trend_0",2.6
"129","Garfield","Garfield","foster_care_trend",2003,"trend_0",5.18666666666667
"130","Grant","Grant","foster_care_trend",2003,"trend_0",3.45
"131","Grays_Harbor","Grays Harbor","foster_care_trend",2003,"trend_0",9.98
"132","Island","Island","foster_care_trend",2003,"trend_0",2.89
"133","Jefferson","Jefferson","foster_care_trend",2003,"trend_0",5.45
"134","King","King","foster_care_trend",2003,"trend_0",3.17
"135","Kitsap","Kitsap","foster_care_trend",2003,"trend_0",6.08
"136","Kittitas","Kittitas","foster_care_trend",2003,"trend_0",2.16
"137","Klickitat","Klickitat","foster_care_trend",2003,"trend_0",5.83
"138","Lewis","Lewis","foster_care_trend",2003,"trend_0",5.08
"139","Lincoln","Lincoln","foster_care_trend",2003,"trend_0",5.18666666666667
"140","Mason","Mason","foster_care_trend",2003,"trend_0",5.72
"141","Okanogan","Okanogan","foster_care_trend",2003,"trend_0",4.73
"142","Pacific","Pacific","foster_care_trend",2003,"trend_0",9.2
"143","Pend_Oreille","Pend Oreille","foster_care_trend",2003,"trend_0",5.18666666666667
"144","Pierce","Pierce","foster_care_trend",2003,"trend_0",5.01
"145","San_Juan","San Juan","foster_care_trend",2003,"trend_0",5.18666666666667
"146","Skagit","Skagit","foster_care_trend",2003,"trend_0",4.13
"147","Skamania","Skamania","foster_care_trend",2003,"trend_0",5.18666666666667
"148","Snohomish","Snohomish","foster_care_trend",2003,"trend_0",3.07
"149","Spokane","Spokane","foster_care_trend",2003,"trend_0",6.78
"150","Stevens","Stevens","foster_care_trend",2003,"trend_0",3.67
"151","Thurston","Thurston","foster_care_trend",2003,"trend_0",3.68
"152","Wahkiakum","Wahkiakum","foster_care_trend",2003,"trend_0",5.18666666666667
"153","Walla_Walla","Walla Walla","foster_care_trend",2003,"trend_0",7.17
"154","Whatcom","Whatcom","foster_care_trend",2003,"trend_0",2.18
"155","Whitman","Whitman","foster_care_trend",2003,"trend_0",2.88
"156","Yakima","Yakima","foster_care_trend",2003,"trend_0",6.92
"157","Adams","Adams","foster_care_trend",2004,"trend_0",6.90444444444444
"158","Asotin","Asotin","foster_care_trend",2004,"trend_0",3.61
"159","Benton","Benton","foster_care_trend",2004,"trend_0",3.85
"160","Chelan","Chelan","foster_care_trend",2004,"trend_0",6.56
"161","Clallam","Clallam","foster_care_trend",2004,"trend_0",6.29
"162","Clark","Clark","foster_care_trend",2004,"trend_0",6.22
"163","Columbia","Columbia","foster_care_trend",2004,"trend_0",6.90444444444444
"164","Cowlitz","Cowlitz","foster_care_trend",2004,"trend_0",7.88
"165","Douglas","Douglas","foster_care_trend",2004,"trend_0",1.76
"166","Ferry","Ferry","foster_care_trend",2004,"trend_0",6.90444444444444
"167","Franklin","Franklin","foster_care_trend",2004,"trend_0",2.89
"168","Garfield","Garfield","foster_care_trend",2004,"trend_0",6.90444444444444
"169","Grant","Grant","foster_care_trend",2004,"trend_0",3.44
"170","Grays_Harbor","Grays Harbor","foster_care_trend",2004,"trend_0",11.2
"171","Island","Island","foster_care_trend",2004,"trend_0",3.09
"172","Jefferson","Jefferson","foster_care_trend",2004,"trend_0",4.5
"173","King","King","foster_care_trend",2004,"trend_0",3.13
"174","Kitsap","Kitsap","foster_care_trend",2004,"trend_0",8.17
"175","Kittitas","Kittitas","foster_care_trend",2004,"trend_0",3.38
"176","Klickitat","Klickitat","foster_care_trend",2004,"trend_0",3.67
"177","Lewis","Lewis","foster_care_trend",2004,"trend_0",5.78
"178","Lincoln","Lincoln","foster_care_trend",2004,"trend_0",6.90444444444444
"179","Mason","Mason","foster_care_trend",2004,"trend_0",5.08
"180","Okanogan","Okanogan","foster_care_trend",2004,"trend_0",6.71
"181","Pacific","Pacific","foster_care_trend",2004,"trend_0",12
"182","Pend_Oreille","Pend Oreille","foster_care_trend",2004,"trend_0",6.90444444444444
"183","Pierce","Pierce","foster_care_trend",2004,"trend_0",5.09
"184","San_Juan","San Juan","foster_care_trend",2004,"trend_0",6.90444444444444
"185","Skagit","Skagit","foster_care_trend",2004,"trend_0",4.84
"186","Skamania","Skamania","foster_care_trend",2004,"trend_0",6.90444444444444
"187","Snohomish","Snohomish","foster_care_trend",2004,"trend_0",3.87
"188","Spokane","Spokane","foster_care_trend",2004,"trend_0",6.4
"189","Stevens","Stevens","foster_care_trend",2004,"trend_0",5.88
"190","Thurston","Thurston","foster_care_trend",2004,"trend_0",4.09
"191","Wahkiakum","Wahkiakum","foster_care_trend",2004,"trend_0",6.90444444444444
"192","Walla_Walla","Walla Walla","foster_care_trend",2004,"trend_0",8.06
"193","Whatcom","Whatcom","foster_care_trend",2004,"trend_0",3.39
"194","Whitman","Whitman","foster_care_trend",2004,"trend_0",3.04
"195","Yakima","Yakima","foster_care_trend",2004,"trend_0",6.9
"196","Adams","Adams","foster_care_trend",2005,"trend_0",7.1525
"197","Asotin","Asotin","foster_care_trend",2005,"trend_0",3.24
"198","Benton","Benton","foster_care_trend",2005,"trend_0",3.6
"199","Chelan","Chelan","foster_care_trend",2005,"trend_0",3.47
"200","Clallam","Clallam","foster_care_trend",2005,"trend_0",7.93
"201","Clark","Clark","foster_care_trend",2005,"trend_0",7.24
"202","Columbia","Columbia","foster_care_trend",2005,"trend_0",7.1525
"203","Cowlitz","Cowlitz","foster_care_trend",2005,"trend_0",6.66
"204","Douglas","Douglas","foster_care_trend",2005,"trend_0",2.68
"205","Ferry","Ferry","foster_care_trend",2005,"trend_0",7.1525
"206","Franklin","Franklin","foster_care_trend",2005,"trend_0",1.97
"207","Garfield","Garfield","foster_care_trend",2005,"trend_0",7.1525
"208","Grant","Grant","foster_care_trend",2005,"trend_0",5.38
"209","Grays_Harbor","Grays Harbor","foster_care_trend",2005,"trend_0",10.2
"210","Island","Island","foster_care_trend",2005,"trend_0",4.8
"211","Jefferson","Jefferson","foster_care_trend",2005,"trend_0",4.09
"212","King","King","foster_care_trend",2005,"trend_0",2.71
"213","Kitsap","Kitsap","foster_care_trend",2005,"trend_0",8.76
"214","Kittitas","Kittitas","foster_care_trend",2005,"trend_0",3.32
"215","Klickitat","Klickitat","foster_care_trend",2005,"trend_0",8.67
"216","Lewis","Lewis","foster_care_trend",2005,"trend_0",8.11
"217","Lincoln","Lincoln","foster_care_trend",2005,"trend_0",7.1525
"218","Mason","Mason","foster_care_trend",2005,"trend_0",5.69
"219","Okanogan","Okanogan","foster_care_trend",2005,"trend_0",7
"220","Pacific","Pacific","foster_care_trend",2005,"trend_0",11.89
"221","Pend_Oreille","Pend Oreille","foster_care_trend",2005,"trend_0",7.1525
"222","Pierce","Pierce","foster_care_trend",2005,"trend_0",5.41
"223","San_Juan","San Juan","foster_care_trend",2005,"trend_0",7.1525
"224","Skagit","Skagit","foster_care_trend",2005,"trend_0",7.41
"225","Skamania","Skamania","foster_care_trend",2005,"trend_0",7.1525
"226","Snohomish","Snohomish","foster_care_trend",2005,"trend_0",3.54
"227","Spokane","Spokane","foster_care_trend",2005,"trend_0",6.79
"228","Stevens","Stevens","foster_care_trend",2005,"trend_0",6.28
"229","Thurston","Thurston","foster_care_trend",2005,"trend_0",3.5
"230","Wahkiakum","Wahkiakum","foster_care_trend",2005,"trend_0",7.1525
"231","Walla_Walla","Walla Walla","foster_care_trend",2005,"trend_0",6.07
"232","Whatcom","Whatcom","foster_care_trend",2005,"trend_0",3.83
"233","Whitman","Whitman","foster_care_trend",2005,"trend_0",4.47
"234","Yakima","Yakima","foster_care_trend",2005,"trend_0",8.2
"235","Adams","Adams","foster_care_trend",2006,"trend_0",7.39555555555556
"236","Asotin","Asotin","foster_care_trend",2006,"trend_0",2.24
"237","Benton","Benton","foster_care_trend",2006,"trend_0",3.94
"238","Chelan","Chelan","foster_care_trend",2006,"trend_0",4.94
"239","Clallam","Clallam","foster_care_trend",2006,"trend_0",7.65
"240","Clark","Clark","foster_care_trend",2006,"trend_0",7.49
"241","Columbia","Columbia","foster_care_trend",2006,"trend_0",7.39555555555556
"242","Cowlitz","Cowlitz","foster_care_trend",2006,"trend_0",6.83
"243","Douglas","Douglas","foster_care_trend",2006,"trend_0",1.91
"244","Ferry","Ferry","foster_care_trend",2006,"trend_0",7.39555555555556
"245","Franklin","Franklin","foster_care_trend",2006,"trend_0",3.04
"246","Garfield","Garfield","foster_care_trend",2006,"trend_0",7.39555555555556
"247","Grant","Grant","foster_care_trend",2006,"trend_0",4.98
"248","Grays_Harbor","Grays Harbor","foster_care_trend",2006,"trend_0",11.22
"249","Island","Island","foster_care_trend",2006,"trend_0",4.26
"250","Jefferson","Jefferson","foster_care_trend",2006,"trend_0",4.99
"251","King","King","foster_care_trend",2006,"trend_0",2.68
"252","Kitsap","Kitsap","foster_care_trend",2006,"trend_0",6.02
"253","Kittitas","Kittitas","foster_care_trend",2006,"trend_0",3.05
"254","Klickitat","Klickitat","foster_care_trend",2006,"trend_0",8.75
"255","Lewis","Lewis","foster_care_trend",2006,"trend_0",6.55
"256","Lincoln","Lincoln","foster_care_trend",2006,"trend_0",7.39555555555556
"257","Mason","Mason","foster_care_trend",2006,"trend_0",6.95
"258","Okanogan","Okanogan","foster_care_trend",2006,"trend_0",7.04
"259","Pacific","Pacific","foster_care_trend",2006,"trend_0",7.84
"260","Pend_Oreille","Pend Oreille","foster_care_trend",2006,"trend_0",7.39555555555556
"261","Pierce","Pierce","foster_care_trend",2006,"trend_0",4.47
"262","San_Juan","San Juan","foster_care_trend",2006,"trend_0",7.39555555555556
"263","Skagit","Skagit","foster_care_trend",2006,"trend_0",5.35
"264","Skamania","Skamania","foster_care_trend",2006,"trend_0",7.39555555555556
"265","Snohomish","Snohomish","foster_care_trend",2006,"trend_0",3.51
"266","Spokane","Spokane","foster_care_trend",2006,"trend_0",6.89
"267","Stevens","Stevens","foster_care_trend",2006,"trend_0",5.84
"268","Thurston","Thurston","foster_care_trend",2006,"trend_0",4.05
"269","Wahkiakum","Wahkiakum","foster_care_trend",2006,"trend_0",7.39555555555556
"270","Walla_Walla","Walla Walla","foster_care_trend",2006,"trend_0",6.78
"271","Whatcom","Whatcom","foster_care_trend",2006,"trend_0",5.04
"272","Whitman","Whitman","foster_care_trend",2006,"trend_0",6.14
"273","Yakima","Yakima","foster_care_trend",2006,"trend_0",7.14
"274","Adams","Adams","foster_care_trend",2007,"trend_0",6.95777777777778
"275","Asotin","Asotin","foster_care_trend",2007,"trend_0",5.1
"276","Benton","Benton","foster_care_trend",2007,"trend_0",4.27
"277","Chelan","Chelan","foster_care_trend",2007,"trend_0",4.33
"278","Clallam","Clallam","foster_care_trend",2007,"trend_0",7.62
"279","Clark","Clark","foster_care_trend",2007,"trend_0",6.77
"280","Columbia","Columbia","foster_care_trend",2007,"trend_0",6.95777777777778
"281","Cowlitz","Cowlitz","foster_care_trend",2007,"trend_0",5.04
"282","Douglas","Douglas","foster_care_trend",2007,"trend_0",2.47
"283","Ferry","Ferry","foster_care_trend",2007,"trend_0",6.95777777777778
"284","Franklin","Franklin","foster_care_trend",2007,"trend_0",3.9
"285","Garfield","Garfield","foster_care_trend",2007,"trend_0",6.95777777777778
"286","Grant","Grant","foster_care_trend",2007,"trend_0",6.14
"287","Grays_Harbor","Grays Harbor","foster_care_trend",2007,"trend_0",11.51
"288","Island","Island","foster_care_trend",2007,"trend_0",3.18
"289","Jefferson","Jefferson","foster_care_trend",2007,"trend_0",3.15
"290","King","King","foster_care_trend",2007,"trend_0",2.53
"291","Kitsap","Kitsap","foster_care_trend",2007,"trend_0",5.7
"292","Kittitas","Kittitas","foster_care_trend",2007,"trend_0",7.24
"293","Klickitat","Klickitat","foster_care_trend",2007,"trend_0",6.32
"294","Lewis","Lewis","foster_care_trend",2007,"trend_0",5.54
"295","Lincoln","Lincoln","foster_care_trend",2007,"trend_0",6.95777777777778
